IncomeCat,Gender,MaritalStat,AgeGroup,Education,Occupation,YrsInBayArea,DualIncQ,PersonsHSLD,PersonsHSLDlt18,HouseholderStat,HomeType,Ethnicity,Language,IncomeSim,Income,logincome
1,2,3,3,4,4,2,1,4,3,2,4,7,1,7621,7.621,0.882011962
8,2,1,4,4,1,5,2,5,3,1,1,7,1,59101,59.101,1.771594829
9,1,5,2,4,1,5,1,3,0,1,1,7,1,96324,96.324,1.983734509
4,2,1,4,5,1,5,2,3,1,1,1,7,1,23048,23.048,1.362633245
1,2,5,4,4,9,4,1,4,1,3,1,7,1,8600,8.6,0.934498451
1,2,1,3,5,4,2,2,,0,2,,2,3,4623,4.623,0.664923893
3,2,1,3,4,3,5,2,4,2,1,1,3,1,18275,18.275,1.261857386
8,2,5,1,3,4,5,1,3,1,3,1,7,1,52143,52.143,1.717196014
6,2,,6,5,1,5,1,,0,2,3,3,1,38771,38.771,1.588507003
3,1,5,4,3,3,5,1,,0,2,1,8,1,18767,18.767,1.273394854
5,2,1,3,4,5,,3,5,3,2,1,7,1,29053,29.053,1.463190984
6,2,1,3,5,1,4,2,3,1,2,1,7,1,31165,31.165,1.493667131
6,2,1,5,4,1,5,2,5,0,1,1,7,1,38321,38.321,1.583436834
6,2,5,4,4,1,5,1,3,0,3,1,7,1,35091,35.091,1.545195745
8,2,1,5,5,1,5,2,3,1,1,1,7,1,67696,67.696,1.830563008
1,2,3,6,4,8,5,1,,0,2,3,7,1,410,0.41,-0.387216143
5,2,1,7,3,8,5,3,2,0,1,1,7,1,28658,28.658,1.457245878
4,2,5,1,2,9,5,1,3,1,3,1,7,1,20386,20.386,1.30933202
8,2,1,4,5,1,5,2,4,2,1,1,3,1,50670,50.67,1.704750904
5,1,3,5,3,3,5,1,2,0,3,1,3,1,28175,28.175,1.449863925
4,2,5,3,4,4,5,1,2,0,2,2,7,1,22090,22.09,1.344195716
8,2,1,5,4,4,5,2,2,0,1,1,7,1,70328,70.328,1.847128267
1,1,5,2,3,1,5,1,3,0,3,1,7,,4587,4.587,0.66152874
5,2,3,3,5,1,2,1,1,0,2,1,7,1,27654,27.654,1.441757959
4,1,5,2,3,6,5,1,6,3,1,1,7,1,22047,22.047,1.343349502
4,1,5,2,4,7,2,1,1,0,3,1,7,1,20699,20.699,1.315949365
2,2,5,2,4,1,5,1,1,0,2,3,7,1,12258,12.258,1.088419617
1,1,5,2,3,7,2,1,,0,2,3,7,1,657,0.657,-0.18243463
3,1,1,2,3,7,2,3,3,1,2,3,7,1,17381,17.381,1.24007476
5,2,1,2,3,5,2,2,2,0,2,3,7,1,27320,27.32,1.436480695
6,2,1,6,2,8,5,1,2,0,1,1,1,1,31992,31.992,1.505041391
6,2,1,5,3,1,5,3,4,0,2,1,3,1,31918,31.918,1.50403567
8,2,1,4,4,4,5,2,6,1,1,1,5,2,52155,52.155,1.71729595
1,1,5,1,2,6,5,1,5,2,3,1,5,2,216,0.216,-0.665546249
7,2,5,4,4,1,5,1,2,0,2,1,7,1,49611,49.611,1.695577981
1,2,5,7,3,8,5,1,1,0,1,4,7,1,7155,7.155,0.854609638
1,2,4,7,2,8,5,1,1,0,2,3,7,1,1453,1.453,0.162265614
2,2,4,7,5,5,5,1,2,0,1,1,7,1,14209,14.209,1.152563514
4,2,1,5,5,4,2,2,5,1,1,1,2,1,23544,23.544,1.371880249
3,1,5,2,3,3,2,1,4,1,3,1,6,1,19699,19.699,1.29444418
6,1,1,7,3,8,5,3,2,0,1,1,7,1,38930,38.93,1.590284404
4,1,5,2,4,6,3,1,3,0,3,3,3,1,23720,23.72,1.375114685
3,2,3,7,6,1,5,1,,0,1,1,7,1,18262,18.262,1.261548338
4,2,4,6,3,4,5,1,1,0,1,4,7,1,21717,21.717,1.336799831
9,1,1,4,5,1,5,2,3,1,1,1,7,1,172807,172.807,2.237561331
1,1,5,2,4,1,3,1,7,3,3,1,2,3,2937,2.937,0.467903947
5,2,3,5,4,1,5,1,2,0,1,,7,1,29422,29.422,1.468672191
1,1,3,4,4,,4,1,1,0,3,1,4,1,2300,2.3,0.361727836
1,2,4,7,3,8,5,1,1,0,2,3,7,1,6192,6.192,0.791830948
1,2,5,2,4,1,5,1,8,3,3,1,5,2,3575,3.575,0.553276046
3,1,5,2,3,4,5,1,2,0,3,1,3,1,19877,19.877,1.298350838
4,1,5,2,4,6,5,1,2,0,3,1,3,1,20811,20.811,1.318292949
